product_name,price,old_price,difference,percentage_difference,price_per_unit,promo_description,category,purchasable,page
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,1
Glace au Chocolat HAAGEN DAZS,4.79,,,,11.98 € / KG,Prenez en 3 = Payez en 2,,True,1
Lingettes Protection Couleurs DECOLOR STOP,14.65,,,,0.18 € / U,Le 2ème à -68%,,True,1
Biscuits sablés nappés au chocolat au lait Granola LU,4.95,,,,8.25 € / KG,Le 2ème à -50%,,True,1
Steak haché façon bouchère Le Classique 15% MG CARREFOUR,13.29,,,,13.29 € / KG,Prenez en 4 = Payez en 3,,True,1
Détachant Oxi Action Poudre efficace dès 20° VANISH,6.69,,,,14.23 € / KG,Prenez en 6 = Payez en 4,,True,1
Glace Cookie Dough BEN & JERRY'S,4.89,,,,12.04 € / KG,Le 2ème à -60%,,True,1
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,1
Riz Basmati Long CARREFOUR EXTRA,2.55,,,,2.55 € / KG,Le 2ème à -20%,,True,1
Rillettes Porc du Mans BORDEAU CHESNEL,1.95,,,,17.73 € / KG,Prenez en 3 = Payez en 2,,True,1
Café moulu L'Original Bio MEO,7.25,,,,14.50 € / KG,Le 2ème à -60%,,True,1
Couches Bébés Prenium Protection 6-10kg Taille 3 PAMPERS,35.9,,,,0.32 € / U,25% d'économies supplémentaire,,True,1
Dés de fromage de brebis pour apéritif et salade aux herbes de Provence SALAKIS,3.39,,,,11.30 € / KG,Le 2ème à -60%,,True,1
Pâtes coquillettes PANZANI,2.97,,,,1.65 € / KG,Vu en catalogue,,True,1
Huile d'olive vierge extra TERRA DELYSSA,8.89,,,,11.85 € / L,Prenez en 3 = Payez en 2,,True,1
Yaourt aux fruits bifidus fraise abricot rhubarbe figue cerise mangue ACTIVIA,5.69,,,,2.84 € / KG,Le 2ème à -60%,,True,2
Compote pomme abricot sans sucre ajoutés CHARLES & ALICE,2.79,,,,3.49 € / KG,Prenez en 3 = Payez en 2,,True,2
Frites Belge l'Original MCCAIN,4.2,,,,2.80 € / KG,Prenez en 3 = Payez en 2,,True,2
Filet de Poulet Cru PLAISIR DE VOLAILLE,19.5,,,,7.80 € / KG,Vu en catalogue,,True,2
Sauce mayomix tomato ketchup et mayonnaise HEINZ,3.35,,,,7.88 € / KG,Prenez en 3 = Payez en 2,,True,2
"Bière Sans Alcool Aromatisée au jus de Citron 0,0% TOURTEL TWIST",4.39,,,,2.66 € / L,Le 2ème à -40%,,True,2
Jus d'orange sans pulpe sans sucres ajoutés JOKER,3.75,,,,2.50 € / L,Le 2ème à -50%,,True,2
Pâte à Tartiner Noisettes et Cacao NUTELLA,5.75,,,,6.97 € / KG,25% d'économies,,True,2
Yaourt à boire nature sucré ACTIMEL,3.36,4.8,1.44,30.0,2.40 € / KG,PROMO : 30%,,True,2
Glace Bâtonnet Amande MAGNUM,5.9,,,,9.83 € / KG,Prenez en 3 = Payez en 2,,True,2
Capsules Lave-vaisselle Propreté Intense Platinum Plus FAIRY,8.81,13.35,4.54,34.01,,PROMO : 34%,,True,2
Eau gazeuse minérale naturelle finement pétillante Verte BADOIT,4.14,,,,,Le 2ème à -50%,,True,2
Capsules Lave-vaisselle Tout en 1 Original FAIRY,9.47,14.35,4.88,34.01,,PROMO : 34%,,True,2
Glace bonbon Dessert glacé Gold Caramel Billionaire x12 MAGNUM,5.0,,,,29.76 € / KG,Prenez en 3 = Payez en 2,,True,2
Compotes 5 fruits pomme abricot pêche poire banane et fraise framboise myrtille cerise sans sucres ajoutés POM'POTES,16.99,,,,5.24 € / KG,Le 2ème à -50%,,True,2
Bière blonde d'abbaye GRIMBERGEN,5.49,,,,3.66 € / L,Le 2ème à -50%,,True,2
Chips à l'ancienne Nature LAY'S,1.39,,,,8.97 € / KG,Le 2ème à -50%,,True,2
Glace Cône vanille/chocolat EXTREME,4.69,,,,8.62 € / KG,Prenez en 3 = Payez en 2,,True,2
Céréales Trésor Chocolat au Lait KELLOGG'S,5.09,,,,6.79 € / KG,Le 2ème à -60%,,True,2
Lessive capsules Original ARIEL,13.51,15.89,2.38,14.98,,1 acheté = 15% de remise,,True,2
